start	end	text
120420	126280	Le projet Wynost ou alors un hackerspace à Strasbourg qui s'appelle Akshtub.
126340	128800	Et puis, il y a un autre collectif qui s'appelle Alsace Raisonneutre.
128800	135300	Et puis, c'est en nuage qui est un chaton que j'évoquerai vite fait dans la deuxième
135300	136060	partie de la conf.
136580	138600	Mais voilà, on n'est pas trop là pour parler de ça.
138700	139780	Alors, je vais passer vite fait.
140320	145420	Et puis, comme Thibault l'a annoncé, cette conférence, c'est un peu la suite de la
145420	148200	conférence de Vincent ou alors une espèce de contre-conférence.
148400	151780	On discutait dans le bureau et puis il me disait, je vais faire une conférence sur
151780	153740	les logiciels libres et tout.
153740	159020	Et puis, moi, j'étais un peu, voilà, logiciels libres, il y en a marre des logiciels libres.
159640	161560	Il faut arrêter de parler des logiciels libres.
162200	165800	Et du coup, je me suis dit, bon, je ne sais plus si c'est Vincent qui m'a dit, tu n'as
165800	166520	qu'à faire une conf.
167180	170380	C'est un peu la suite de la conférence ou la contre-conférence.
170520	173600	Alors, ce n'est même pas spécialement contre Vincent parce que je pense qu'il sera
173600	176600	tout à fait à raccord avec ce que je vais dire.
176840	181600	Mais voilà, cette conférence, elle est un peu là pour essayer de secouer le cocotier
181600	182320	consensuel.
182980	187780	J'ai piqué l'expression à Laurent Marchaud, son job dans la vie, c'est secoueur
187780	188320	de cocotier.
190120	195600	Voilà, c'est un peu un espèce de coup de gueule contre les libristes pour arrêter
195600	199680	avec l'espèce de consensus en mode, oui, le logiciel libre, c'est cool et tout.
199860	200760	Il faut faire du logiciel libre.
201940	205480	Moi, j'ai un peu envie qu'on secoue le cocotier consensuel pour vraiment réfléchir
205480	206720	à ce qu'on essaye de défendre.
206720	212940	Et en réalité, moi, je pense que le logiciel libre, il a fait son temps et il faut
212940	213680	passer à autre chose.
214300	217160	Alors, je vais faire un peu des caricatures à l'emporte-pièce.
217280	220740	Alors, vous me direz un peu si à la fin, j'ai été un peu trop violent, un peu trop
220740	223240	loin dans le secouage de cocotier.
224760	230300	Des fois, je vais utiliser des gros mots comme libéral ou libertaire ou même néo-féodalisme.
230500	231140	Un moment, j'ai mis ça.
231940	235560	Je suis désolé, j'espère que ça ne va pas trop choquer les gens.
235560	240780	Alors, néanmoins, tout ça, la conclusion, ça ne va pas être de dire qu'il faut arrêter
240780	241740	d'utiliser le logiciel libre.
241940	246360	Au contraire, il va falloir, c'est vraiment important de continuer à utiliser le logiciel
246360	249980	libre, mais vraiment, il faut, moi, je pense qu'il faut qu'on trouve d'autres mots pour
249980	255360	désigner quelles sont les luttes, enfin, qu'est-ce qu'on défend via le logiciel libre.
257480	260920	Et puis, alors, je vais supposer que vous avez une idée générale de qu'est-ce que
260920	263560	le logiciel libre, parce que quand même, on en a pas mal parlé.
263560	264900	Et puis, voilà, il y a eu la conf de Vincent.
265420	271580	Et puis, vous avez un peu une idée de qu'est-ce que c'est l'enjeu autour des GAFAM, la centralisation
271580	272260	d'Internet.
273020	276400	Maintenant, on dit même les GAFAM, les Natoo, les BATX.
276400	287060	Ça, c'est genre Netflix, Tesla, Uber, Airbnb, ou Baidu, les trucs un peu plus en Chine.
288840	289000	Voilà.
289580	294340	Et puis, alors ce tool qu'il est initialement, c'est un peu un tool auquel je réfléchis
294340	296440	depuis un ou deux ans.
296860	301120	Initialement, c'est quand même un truc destiné un peu aux libristes pour essayer de les secouer,
301120	304160	pour qu'ils arrêtent de défendre optimément le logiciel libre.
305540	308960	Et alors là, je fais ce talk devant vous, mais je pense que ça peut être aussi intéressant
308960	310580	pour des gens qui ne baignent pas dans la technique.
311200	314980	Et surtout qu'en réfléchissant au truc, je me suis dit qu'il y a quand même des parallèles
314980	320180	assez frappants avec plein d'autres trucs comme l'économie sociale et solidaire, ou l'écologie,
320340	321240	ou la politique française.
321460	326800	Enfin, voilà, je pense que vous avez retrouvé des gros parallèles assez importants.
326800	328820	Alors, j'ai découpé ça en trois parties.
328980	330780	Alors, c'est surtout la première partie qui est la plus grande.
330920	333600	Ce n'est pas trop équilibré niveau slide.
333720	337200	La première partie, c'est un peu la moitié, la présentation.
338140	342660	Qu'est-ce qui est libre dans le logiciel libre et à qui profite le libre ?
342660	346620	Et puis, dans un deuxième temps, est-ce que la culture libriste est subversive ?
346620	349940	Et dans un troisième temps, qu'est-ce qu'on défend vraiment ?
349940	351680	Et puis, des conclusions.
353220	355520	Alors voilà, qu'est-ce qui est libre dans le logiciel libre ?
355520	360280	Moi, c'est la première question que j'avais envie de poser pour secouer le cocotier du consensus.
363160	367560	Alors, avant de mettre les pieds dans le plat, j'aimerais un peu juste rappeler rapidement,
367720	374900	quand on vous parle du logiciel libre, souvent, on vous présente un peu les trucs clés que tout le monde connaît un peu.
375080	383960	Genre, voilà, Firefox, VLC, WordPress, LibreOffice, Wikipédia peut-être, OpenStreetMap, des choses comme ça.
383960	392080	Là, c'est un peu les projets visibles où il y a des centaines ou des milliers de développeurs, développeuses, de contributeurs par projet.
392600	401640	Mais en fait, ce qu'il faut réaliser, c'est que tout ça est construit sur un iceberg de plein d'autres espèces de communs ou des trucs comme ça.
401640	410100	Des langages de programmation, les distributions Linux et puis, en fait, des millions de librairies ou, si vous voulez, des briques logicielles.
410280	416400	Des librairies, si on veut, on peut dire que c'est des briques logicielles qui permettent de construire de plus grosses choses.
416860	419560	Et tout ça, c'est un peu sous le capot, c'est un peu caché.
419560	430300	C'est maintenu par des milliers de bénévoles isolés dans la pampa qui, voilà, maintiennent sur leur temps libre un petit truc, par exemple, je ne sais pas, un petit truc pour gérer des images JPEG.
430720	433680	Par exemple, des images JPEG, il y en a dans plein de logiciels différents.
434460	440780	Potentiellement, c'est une même brique logicielle qui va aider plein de logiciels, de gros logiciels à gérer des images JPEG.
440780	447740	Et puis, des fois, ça arrive qu'il y ait un mainteneur dans la pampa qui décide d'arrêter son taf.
447900	451760	Et puis, cinq ans plus tard, on découvre qu'il y a un bug et que personne ne l'a corrigé.
452100	458560	Ou alors, ça crée des catastrophes parce que tout le château de cartes s'écroule à cause de la brique logicielle qui est mal maintenue.
459340	469640	Alors, le deuxième truc, c'est aussi pour comprendre un peu l'importance politique du code ou du numérique, c'est que plus le temps passe et plus le code devient la loi.
469640	479120	C'est-à-dire que le code définit quelles sont les règles du jeu social et sociétal, quels sont les formats de communication.
479320	481600	Alors, ça, ça prend énormément de formes différentes.
481780	489900	Alors, il y a tout un article de Laurence Lessig là-dessus, qui est un peu un type qui fait un espèce de penseur du numérique, on va dire.
492160	495760	Le code est juste du texte jusqu'à ce qu'il détermine le cadre de vie des citoyens.
495900	497740	Et à partir de là, le code devient la loi.
497740	505660	On peut citer vraiment des exemples à l'appel, mais pour vous donner des exemples relativement concrets, le fait que les likes sur Facebook, ça existe,
506260	513320	ça peut avoir tendance à biaiser la manière dont les gens écrivent leurs posts pour recevoir le plus de likes possible.
514500	521560	Le format des vidéos TikTok, ça influe sur la manière dont les gens communiquent et passent leur temps.
521560	533820	Aujourd'hui, les scrolls infinis dans les interfaces, le fait que vous pouvez scroller et que vous avez toujours du contenu qui s'affiche automatiquement, ça, ça veut dire que c'est à vous, en tant qu'utilisateur ou utilisatrice, de faire l'effort de vous arrêter de scroller.
533820	538660	Et c'est quand même assez discutable en termes d'éthique ou de pas terme.
540360	549840	Au niveau de la bureaucratie, moi, j'avais vu un bout de conf une fois d'une personne qui travaille à Pôle emploi ou quelque chose comme ça dans l'administration
549840	554960	et qui devait saisir des personnes qui avaient des parcours un peu particuliers et très hors du commun.
554960	564420	Et des fois, elle se retrouvait vraiment bloquée par le formulaire de son interface au travail parce que, je ne sais pas, quand on demande quelles études avez-vous fait,
564540	570420	la personne n'a pas fait d'études, mais pourtant, il faut quand même mettre un truc dans la case et sinon, on ne peut pas valider le formulaire.
570860	575960	Du coup, ça veut dire que soit il y a des gens, on est obligé de mentir pour les saisir dans le système informatique,
575960	583900	soit en fait, ils ne peuvent pas exister parce que le formulaire a été conçu de sorte à ce que si tu ne veux pas remplir le truc, tu n'existes pas.
584580	589360	Par exemple, le simple fait d'avoir nom-prénom, on peut imaginer, il y a sans doute des cultures dans le monde, j'imagine,
589500	592340	où les gens n'ont pas un nom et un prénom, ils ont juste un prénom.
592840	599220	Et dans ce cas-là, qu'est-ce qu'on met si on doit les saisir dans le formulaire pour l'emploi ou même dans le Houdou de Copaname ?
599220	604180	Qu'est-ce qu'on ferait si on avait quelqu'un qui n'avait pas de nom de famille ?
605960	613600	Et puis, les algorithmes, les IA, il y a le scandale Cambridge Analytica qui est quand même un truc vachement craignose,
613780	624740	mais si on résume, en gros, c'est Facebook qui a refilé des données à une entité, à des tiers privés pour manipuler les résultats de l'élection
624740	629700	qui a peut-être aidé Trump à accéder au pouvoir, donc c'est quand même assez craignose,
629700	636000	juste en modifiant le flux Facebook des personnes, ou les pubs en tout cas qui étaient affichés.
636760	641640	Les voitures autonomes, là maintenant, les gens, ils en sont à coder le truc qui va déterminer,
642180	648020	quand il y a un accident inévitable, est-ce qu'on sauve le conducteur ou est-ce qu'on sauve le piéton
648020	652020	qui s'est engagé sur la route un peu trop vite ?
652020	656080	On en est vraiment rendu là où les gens doivent coder le logiciel,
656820	661780	qu'est-ce que fait la voiture ? Est-ce qu'elle sauve le passager ? Est-ce qu'elle sauve le piéton ?
661780	665220	Et puis, des trucs aussi qui craignent, comme la reconnaissance faciale raciste,
665360	672020	alors ça, c'est iPhone, ils avaient sorti un truc pour déverrouiller son téléphone avec la reconnaissance faciale,
672020	677980	et puis, alors, ils avaient sans doute entraîné leur algorithme sur des Blancs caucasiens occidentaux,
678460	681940	et puis du coup, sur les Noirs, ça ne marchait pas bien, et puis les Chinois, c'était tous les mêmes,
682060	685140	alors tous les Chinois pouvaient déverrouiller n'importe quel téléphone.
685780	688020	Ça, c'est assez craignose.
690600	694160	Voilà, donc c'est ça, comme on veut dire, quand le code, c'est la loi,
694340	700580	ça, c'est pour réaliser un peu l'importance politique du numérique dans la société contemporaine.
700580	706940	Alors, du coup, on vous a fait sans doute l'évangélisme classique du logiciel libre,
707020	711960	on vous a expliqué les quatre libertés, voilà, on peut exécuter le programme pour tous les usages,
712040	720420	ça, c'est la liberté zéro, et puis on peut lire, modifier, et puis distribuer le programme un peu comme on veut.
721740	728100	Ça, c'est quatre principes qui ont été posés dans les années 80 par, voilà, Richard Stallman,
728100	732280	le créateur du logiciel libre. Et tout ça, ça a un peu émergé dans ce que j'ai émergé,
732380	736940	la candeur des années 80. À l'époque, on pensait qu'il allait y avoir de l'informatique,
737080	742000	ça allait révolutionner la société, ça allait booster la démocratie,
742420	746660	on allait avoir, voilà, sur Internet, on n'allait voir que les meilleurs contenus,
746740	752940	les plus pertinents, il allait y avoir un partage absolu de la connaissance et du savoir,
752940	757240	ça allait être merveilleux et tout. Maintenant, depuis, on en est un peu redescendu,
757360	766320	mais voilà, il faut imaginer que c'est apparu dans ce genre de contexte, il y a 40 ans maintenant.
767700	773000	Et puis, alors ça, ces principes-là, ils ont été traduits dans le milieu, on appelle ça des licences,
773100	777600	si vous voulez, c'est un peu le contrat juridico-technique, ou comment on appelle ça,
777600	782860	les conditions générales d'utilisation, c'est ce qui détermine est-ce que vous avez le droit ou pas
782860	789160	d'utiliser le logiciel et sous quelles conditions. Et en fait, le logiciel libre, c'est un peu un hack juridique,
789260	794440	c'est un peu un piratage du copyright, si vous voulez, c'est un peu retourner le copyright contre lui-même
794440	801460	en disant, moi, en tant qu'auteur, autrice du logiciel ou du code ou de la ressource,
801640	807440	comme j'ai le droit d'auteur exclusive dessus, avec mon droit d'auteur, je décrète qu'il n'y a aucun problème,
807600	811580	propriétaire sur ce code et que tout le monde est libre de l'utiliser, etc.
811580	821460	Donc c'est vraiment ce truc de retourner la propriété intellectuelle contre elle-même, d'une certaine manière.
822140	827000	Et là, à tout coup, tout le monde s'est un peu emballé en mode, voilà, on va libérer le logiciel,
827140	832980	ça va libérer la société, ça va être génial. On a écrit ça sur des hoodies, free software, free society.
833180	836500	Moi, moi-même, j'ai acheté ce hoody et puis je l'ai porté pendant un temps.
836500	843160	Maintenant, il traîne dans un placard. Mais il y a vraiment cet idéal qui est resté chez les libristes
843160	846660	autour du combat du logiciel libre.
847400	854180	Mais alors, quand on commence à essayer d'expliquer le logiciel libre aux gens qui ne viennent pas dans la technique,
855020	861720	c'est toujours un peu bizarre parce qu'on leur explique les quatre libertés et puis tu as le droit d'aller lire le code,
861720	865320	d'aller modifier le code, redistribuer et tout, c'est génial.
865320	868540	Et en vrai, je pense que les gens qui ne baignent pas dans la technique, ils vont se dire,
868660	875280	ok, mais alors, attends, parce que moi, je ne suis pas développeur, je ne sais pas lire le code,
875400	880220	encore moins le modifier et puis exécuter le programme pour tous les usages.
880400	886880	Moi, quand j'utilise Windows, j'ai le droit d'exécuter le programme et puis pour tous les usages que je veux.
886880	892160	Alors, au final, bon, je ne sais pas trop pourquoi le logiciel libre, ce serait mieux,
892420	897500	mais en même temps, peut-être que vous n'êtes pas trop d'accord avec les GAFAM, Microsoft et tout.
897640	901240	Du coup, vous voyez les gauchistes barbus, là, ils vous disent, il faut faire du logiciel libre.
901360	903220	Alors, vous dites, bon, bah ouais, ok, on va faire du logiciel libre.
904100	905920	Puis vous dites, waouh, mais ça va te rendre libre et tout.
907600	908100	Mais voilà, bon.
909120	912840	Mais alors, on a quand même trois des libertés sur les quatre qui concernent les développeurs,
912840	914740	les gens qui savent lire le code et modifier.
915500	919280	Alors d'ailleurs, même lorsqu'on sait lire le code, il faut bien se rendre compte
919280	922620	qu'on n'a pas le temps de lire le code de tous les logiciels qu'on exécute.
922760	924240	Ça, c'est purement impossible.
924960	926980	Et puis, ok, voilà, la liberté d'utiliser le programme pour tout.
927100	931360	Quand on réfléchit, bon, déjà, peut-être que vous ne vous sentez pas spécialement bridé
931360	936780	dans l'utilisation de vos logiciels lorsque vous utilisez du code proprio.
936960	938320	Alors, peut-être éventuellement, c'est payant.
939640	939960	Mais voilà.
939960	942280	Et puis, ce qui est un peu...
942280	944580	Quand on commence à réfléchir, on se dit, bah, mais en fait, il n'y a aucune interdiction
944580	948860	de se faire des trucs dégueulasses lorsqu'on utilise les logiciels libres.
949060	953800	Alors, voilà, le truc un peu caricatural classique, c'est, voilà, sans doute que dans le monde,
953880	955240	il y a des missiles qui tournent sous Linux.
955980	957980	Sans doute que ça, ça ne libère pas trop les gens.
960120	963020	Et alors, l'autre truc, c'est, voilà, le logiciel libre, c'est un peu une réputation
963020	965660	d'avoir un design discutable.
965660	972600	Mumble, si vous regardez, par exemple, dans le monde du graphisme, Inkscape versus Illustrator,
972720	977520	bah, clairement, il y en a un qui est quand même plus, mieux foutu au niveau interface
977520	979520	que l'autre.
979660	980900	Mumble versus Discord.
982480	986660	Ça, c'est des logiciels pour discuter avec la voix et tout.
986760	990740	Discord, c'est un peu le truc des Jones avec une interface super léchée, alors que Mumble,
990740	994760	c'est le truc un peu austère qui a été codé sans doute il y a 20 ans.
995720	1001260	Et puis, le site, il n'est pas super invitant, enfin, ça n'invite pas trop à l'utiliser,
1001360	1001720	on va dire.
1002600	1005980	Et puis, finalement, le troisième truc un peu discutable, c'est la réputation sur
1005980	1009000	l'accessibilité parce qu'il y a des gens qui se sont dit, bah, vous êtes bien gentil
1009000	1013120	avec votre liberté d'utiliser le programme pour faire tout, mais en fait, pour les gens
1013120	1018720	qui sont handicapés visuellement, par exemple, votre logiciel, il n'est pas forcément
1018720	1023280	super accessible. Alors, il y a un collectif qui s'est créé autour de ça, qui s'appelle
1023280	1027620	le collectif Liberté Zéro, pour dire, avant tout, pour que le logiciel soit vraiment
1027620	1032140	libre, il faudrait que les gens qui ont des handicaps ou des déficiences visuelles
1032140	1036220	ou toutes sortes de trucs dans la vie, puissent réellement utiliser le logiciel.
1036460	1040240	Donc, on va créer un collectif Liberté Zéro pour promouvoir l'accessibilité dans
1040240	1043720	les logiciels. Et d'ailleurs, j'ai eu la mauvaise surprise de découvrir que ce truc,
1043820	1047320	il était un peu mort depuis 2016. En tout cas, le site, il n'a pas trop été mis à jour
1047320	1053140	depuis certains moments. Alors, bon, tout de même, là, je suis un peu de l'avocat
1053140	1058400	du diable parce que le logiciel libre, c'est quand même intéressant. Ce qui est intéressant
1058400	1062820	en fait avec les libertés, c'est que ça crée une transparence sur le code source,
1062820	1067720	sur le fonctionnement. Et puis, le développement, comme il n'est pas lié à une entreprise,
1067940	1072860	il est indépendant. Et du coup, tout ça, ça crée de la confiance. Alors, souvent,
1072860	1077820	le logiciel libre, il est souvent gratuit, même si les libristes, ils n'aiment pas trop
1077820	1081920	qu'on le dise que le logiciel libre, il est gratuit. Mais en tout cas, les gens dans
1081920	1086000	la société moderne, ils s'attendent souvent à ce que ce soit gratuit, même si c'est
1086000	1090240	un truc qu'on va critiquer par la suite. Et puis, il y a un peu une forme de pérennité.
1090440	1094320	C'est-à-dire que comme le logiciel, il est lié à aucune entité commerciale,
1094320	1100420	eh bien, ce n'est pas comme s'il allait y avoir l'entreprise qui gère le logiciel
1100420	1105280	qui coule, et du coup, le logiciel, il coule avec. Là, même s'il y a une boîte
1105280	1109700	qui contribue à un logiciel, le logiciel, il continue d'exister. Et puis, d'autres
1109700	1114880	gens peuvent le reprendre plus tard. Donc, ça, ça crée de la pérennité pour le logiciel.
1117300	1121180	Bref. Alors, et du coup, le truc aussi avec le logiciel, c'est qu'on peut voir ça
1121180	1125860	comme une espèce de modalité de production super efficace, en fait.
1125960	1130600	C'est-à-dire que lorsque vous créez un logiciel, vous, eh bien, vous pouvez utiliser
1130600	1134780	plein de briques qui existent déjà. Et puis, vous avez besoin de demander à personne.
1135520	1138900	Il n'y a pas besoin de réinventer la roue. Voilà, si vous voulez gérer des images JPEG
1138900	1142320	dans votre logiciel, il y a déjà des gens qui ont codé le truc pour vous.
1143180	1147560	C'est super génial. Et puis, il y a même des bénévoles sur Internet dans le monde
1147560	1150960	qui sont prêts à taffer gratuitement pour améliorer la qualité des trucs.
1151180	1155460	Et bien, ça, devinez qui ça peut intéresser ?
1155460	1159320	Eh bien, le grand capital. Parce que exploiter du travail gratuitement
1159320	1163260	sans avoir le moindre contrat à signer, franchement, c'est un peu le rêve mouillé
1163260	1166660	des capitalistes. C'est vraiment génial, quoi.
1167240	1170840	Alors, le seul petit problème, c'est qu'il y a quand même un peu des germes
1170840	1174080	de communistes. Parce que le logiciel libre, à la base, ça vient un peu
1174080	1178080	des cauchistes barbus, là, du MIT, Richard Stallman et tout ça.
1180360	1187160	Même si ça ne se transparaît pas forcément dans les quatre libertés, là, on sait qu'il y a des espèces
1187160	1190700	d'entourloupes communistes qui traînent dans le truc.
1190700	1193500	Du coup, ça, on aimerait mettre ça de côté.
1193780	1198260	Alors, c'est comme ça qu'est né ce qui a été appelé l'open source.
1199320	1203060	L'open source, eh bien, c'est le logiciel libre aseptisé.
1203440	1207220	Alors, c'est intéressant parce que lorsqu'on va voir sur Wikipédia, c'est quoi la définition
1207220	1213380	de l'open source, eh bien, c'est quasiment la même définition que le logiciel libre.
1213820	1217540	Ça, c'est la définition du logiciel libre. C'est ce que je vous ai expliqué juste avant.
1217800	1222220	Et l'open source, c'est un truc où on a la possibilité de libre redistribution,
1223000	1226120	d'accès au code source et de création de travaux dérivés.
1226280	1229440	Bon, ça ressemble quand même comme deux gouttes d'eau au logiciel libre.
1229560	1233180	Et d'ailleurs, juridiquement, les deux sont indistinguables.
1233180	1237340	Et d'ailleurs, pas à but de langage, dans toute la suite et même dans la vie,
1237480	1240180	lorsque je parle de logiciel libre ou d'open source,
1240340	1247240	eh bien, pour moi, c'est la même chose parce qu'il n'y a pas de différence technique ou juridique entre les deux.
1249160	1254340	Alors, il y a des gens qui vont vous dire, oui, mais le logiciel libre, c'est l'open source plus des valeurs.
1256860	1261820	Et alors, ces valeurs, moi, les valeurs, quelles sont ces valeurs qui sont défendues par le logiciel libre ?
1261820	1265180	Je ne sais pas. Personne ne semble ne les avoir définis.
1265780	1269460	Du coup, je ne sais pas si c'est les valeurs de Marine Le Pen ou les valeurs de Philippe Poutou.
1270480	1273740	Du coup, pour moi, dire ça, c'est un peu du flanc.
1276220	1279540	Alors, pour finir sur l'open source, il faut comprendre que le terme open source,
1279540	1286160	il a vraiment été un peu inventé pour faciliter le marketing autour du logiciel libre,
1286260	1289780	du code ouvert, du code qu'on peut facilement consulter et ainsi de suite.
1289780	1293080	C'était vraiment pour le rendre entreprise compatible, quoi.
1295360	1298080	Alors, d'ailleurs, c'est quoi un peu le modèle économique du logiciel libre ?
1298080	1302320	Ça, vous en avez parlé avec Vincent parce que je suis allé zioter les slides.
1303760	1304360	Vite fait.
1305740	1306740	Il y a plusieurs modèles.
1307220	1310240	Soit vous êtes en bénévolat complet, mais alors le bénévolat complet,
1310840	1312640	ça ne dure pas une éternité.
1313280	1314960	Éventuellement, ça peut s'appliquer aux petits projets,
1314960	1319340	mais lorsque votre projet commence à grossir, souvent le bénévolat, ça ne suffit plus.
1321040	1323920	Et d'ailleurs, le bénévolat, en gros, ce n'est pas pérenne.
1324060	1326680	Je vous ai mis un petit triangle, un peu comme les trucs de marketing,
1326880	1329200	où il faut choisir entre si vous voulez un projet,
1329320	1334520	est-ce que vous voulez l'avoir rapidement, pas cher et de qualité.
1335260	1337680	Souvent, on ne peut choisir que deux trucs parmi les trois.
1338240	1342400	C'est un peu pareil entre la gratuité, la pérennité et le libre ou l'éthique.
1342400	1345240	Il faut un peu choisir ce que vous voulez.
1347820	1350040	Le bénévolat complet, par exemple, ce n'est pas pérenne.
1350240	1354360	C'est gratuit pour les gens et c'est libre-éthique, mais ce n'est pas pérenne.
1354500	1356460	Du coup, en gros, il n'y a aucune solution magique.
1358580	1361460	Alors ça, je vais passer parce que ce n'est pas non plus le cœur du sujet,
1361580	1365740	mais il y a quand même une discussion un peu sur c'est quoi le modèle économique du logiciel libre.
1365840	1370080	Et tout ça, ça a été un peu laissé sous le tapis par les libristes.
1370080	1373020	C'est-à-dire qu'il faut te démerder, si tu veux,
1373360	1376780	parce qu'il faut que le logiciel continue d'exister.
1377360	1380080	Par contre, tu n'as pas trop le droit de faire des fonctionnalités payantes.
1380200	1383100	Ça, ils n'aiment pas trop les libristes parce que ça veut dire souvent
1383100	1385420	que les fonctionnalités, des fois, il y a certaines fonctionnalités
1385420	1387520	qui sont accessibles que si on paye.
1387600	1388500	Du coup, elles ne sont pas libres.
1389560	1391480	Du coup, ça, les libristes, ils n'aiment pas trop parce que ce n'est pas libre.
1391660	1393640	Mais du coup, à un moment, il faut manger quand même.
1394280	1396080	Du coup, comment on fait ?
1396080	1399140	Et au final, d'une certaine manière, les entreprises,
1399260	1400500	on comprend qu'elles ont un rôle à jouer
1400500	1404540	parce que si on se base juste sur, je ne sais pas, les dons ou les subventions,
1405500	1407740	souvent, ça ne suffit pas pour faire tourner le projet.
1408140	1410320	Et les gens qui ont des sous, souvent, c'est des entreprises.
1412100	1416780	Du coup, elles sont un peu nécessaires à un moment pour faire tourner les gros projets.
1416780	1420080	Alors voilà, du coup, l'open source, c'est cool.
1420700	1424740	Les entreprises, elles se sont rendues compte que c'était quand même pas mal.
1425540	1427260	Et même Microsoft a fini par kiffer.
1427600	1434400	Alors, il faut voir qu'en 2000, Microsoft, sa position sur l'open source,
1434560	1437680	c'était quand même, quand tu programmes de l'open source, tu programmes du communisme.
1437680	1445840	Et, ouais, littéralement, Balmer, là, le type avec,
1446060	1447880	il aurait pu le voir dans Fantomas, peut-être,
1448700	1452320	il disait en 2001, Linux, c'est le cancer.
1452440	1454080	Il a vraiment dit ça, littéralement.
1455440	1456780	Et pourtant, en 2014,
1458020	1460120	en 2014, on ne sait pas trop ce qui s'est passé,
1460700	1463780	mais alors, Microsoft, ils font une présentation et ils disent,
1463780	1467420	« Mais nous, on adore Linux, c'est génial ! »
1467680	1470480	Et alors, en 2014,
1473500	1476880	qu'est-ce qu'elle a été la réaction des libristes en voyant ça ?
1476880	1480000	A votre avis, est-ce qu'on est content ou pas content lorsqu'on voit ça ?
1480000	1486460	Je ne sais pas si les libristes ont réalisé la mesure de ce qui venait de se passer
1486460	1490500	lorsque Microsoft affirme qu'ils aiment Linux d'amour,
1491160	1492240	et l'open source aussi.
1493520	1496060	Si Microsoft en vient à dire ça, c'est que vraiment,
1496060	1497520	il s'est passé un truc.
1499720	1502140	Et en plus, il s'est passé un truc, pas juste en 2014,
1502280	1506240	parce que le temps que Microsoft comprenne qu'ils ont fait une énorme connerie
1506240	1511260	en disant, « Linux, c'est le cancer, l'open source, c'est le communisme et tout. »
1511260	1512720	Il faut vraiment qu'il soit passé un truc,
1512880	1518160	il faut qu'ils réalisent qu'ils ont loupé vraiment le truc dans l'histoire.
1518160	1524800	Bref, le tournant, c'était pile au milieu, entre 2000 et 2014, 2007.
1525520	1529000	C'est un peu le tournant où on a eu d'une part les premiers smartphones,
1529260	1531180	c'est la sortie du premier iPhone en 2007.
1532800	1536180	Et puis sur Android, il faut savoir que c'est développé par Google.
1536700	1539660	Et d'ailleurs, Android, c'est open source et c'est basé sur Linux.
1539660	1545020	Du coup, Google est tout à fait très content de bénéficier des bénévoles
1545020	1550600	qui veulent améliorer gratuitement la qualité de Android.
1552180	1554500	Et puis d'autre part, la montée de Facebook,
1555580	1557300	les plateformes en ligne, le cloud,
1558420	1559920	ça est basé aussi sur l'open source.
1560700	1564160	Le cloud, c'est vraiment le fait que les logiciels que vous utilisez dans la vraie vie,
